N,Mutation Rate,Recombination Rate
100,0.00025,0.00025
100,0.00025,0.0025
100,0.00025,0.025
100,0.0025,0.00025
100,0.0025,0.0025
100,0.0025,0.025
100,0.025,0.00025
100,0.025,0.0025
100,0.025,0.025
1000,0.000025,0.000025
1000,0.000025,0.00025
1000,0.000025,0.0025
1000,0.00025,0.000025
1000,0.00025,0.00025
1000,0.00025,0.0025
1000,0.0025,0.000025
1000,0.0025,0.00025
1000,0.0025,0.0025
10000,0.0000025,0.0000025
10000,0.0000025,0.000025
10000,0.0000025,0.00025
10000,0.000025,0.0000025
10000,0.000025,0.000025
10000,0.000025,0.00025
10000,0.00025,0.0000025
10000,0.00025,0.000025
10000,0.00025,0.00025
